IP,Hostname,Port,Port Protocol,CVSS,Severity,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
192.168.100.8,,80,tcp,7.5,High,"VendorFix","Joomla! < 3.8.12 Multiple Vulnerabilities","This host is running Joomla and is prone to multiple vulnerabilities.","Installed version: 1.5.15
Fixed version:     3.8.12
Installation
path / port:       /joomla",1.3.6.1.4.1.25623.1.0.112371,"CVE-2018-15880, CVE-2018-15882",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,39c406c2-3dd5-4121-9bca-6af7300bbba6,"","Upgrade to version 3.8.12 or later.","Joomla! CMS versions 1.5.0 through 3.8.11","The following vulnerabilities exist:

  - Inadequate output filtering on the user profile page could lead to a stored XSS attack. (CVE-2018-15880)

  - Inadequate checks in the InputFilter class could allow specifically prepared PHAR files to pass the upload filter. (CVE-2018-15882)","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 3.8.12 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.112371)
Version used: $Revision: 12252 $
","Product: cpe:/a:joomla:joomla:1.5.15
Method: joomla Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.100330)
","","DFN-CERT-2018-1744","https://developer.joomla.org/security-centre/744-20180802-core-stored-xss-vulnerability-in-the-frontend-profile.html, https://developer.joomla.org/security-centre/743-20180801-core-hardening-the-inputfilter-for-phar-stubs.html, https://www.joomla.org"
192.168.100.8,,8080,tcp,7.5,High,"Mitigation","Apache Tomcat Manager Remote Unauthorized Access Vulnerability","Apache Tomcat Manager/Host Manager/Server Status is prone to a remote
  unauthorized-access vulnerability.","It was possible to login into the Tomcat Host Manager at http://192.168.100.8:8080/host-manager/html using user ""root"" with password ""owaspbwa""

It was possible to login into the Tomcat Manager at http://192.168.100.8:8080/manager/html using user ""root"" with password ""owaspbwa""

It was possible to login into the Tomcat Server Status at http://192.168.100.8:8080/manager/status using user ""root"" with password ""owaspbwa""",1.3.6.1.4.1.25623.1.0.103550,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,5467068c-d616-4a4c-aba7-047ccb657d1e,"An attacker can exploit this issue to upload and execute arbitrary
  code, which will facilitate a complete compromise of the affected computer.","Change or remove the user from tomcat-users.xml.","","","
Details:
Apache Tomcat Manager Remote Unauthorized Access Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.103550)
Version used: $Revision: 13659 $
","Product: cpe:/a:apache:tomcat:6.0.24
Method: Apache Tomcat Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.800371)
","","",""
192.168.100.8,,443,tcp,7.5,High,"WillNotFix","WordPress Spreadsheet plugin Multiple Vulnerabilities","This host is installed with WordPress
  Spreadsheet plugin and is prone to multiple vulnerabilities.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.804872,"CVE-2014-8363, CVE-2014-8364",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,c51d67ce-683d-4886-9868-e71dd6f28076,"Successful exploitation will allow remote
  attackers to execute arbitrary HTML and script code in a users browser session
  in the context of an affected site and inject or manipulate SQL queries in the
  back-end database, allowing for the manipulation or disclosure of arbitrary data.","No known solution was made available
  for at least one year since the disclosure of this vulnerability. Likely none
  will be provided anymore. General solution options are to upgrade to a
  newer release, disable respective features, remove the product or replace
  the product by another one.","WordPress Spreadsheet plugin version 0.62","Input passed via the 'ss_id' parameter to
  wpSS/ss_handler.php script is not validated before returning it to users.","Send a crafted data via HTTP GET request
  and check whether it is able to read cookie or not.
Details:
WordPress Spreadsheet plugin Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.804872)
Version used: $Revision: 11402 $
","Product: cpe:/a:wordpress:wordpress:2.0
Method: WordPress Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.900182)
","69073,  69089","","http://packetstormsecurity.com/files/127770"
192.168.100.8,,80,tcp,7.5,High,"WillNotFix","WordPress Spreadsheet plugin Multiple Vulnerabilities","This host is installed with WordPress
  Spreadsheet plugin and is prone to multiple vulnerabilities.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.804872,"CVE-2014-8363, CVE-2014-8364",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,47c23fab-5959-46cb-829b-e7fdb78af603,"Successful exploitation will allow remote
  attackers to execute arbitrary HTML and script code in a users browser session
  in the context of an affected site and inject or manipulate SQL queries in the
  back-end database, allowing for the manipulation or disclosure of arbitrary data.","No known solution was made available
  for at least one year since the disclosure of this vulnerability. Likely none
  will be provided anymore. General solution options are to upgrade to a
  newer release, disable respective features, remove the product or replace
  the product by another one.","WordPress Spreadsheet plugin version 0.62","Input passed via the 'ss_id' parameter to
  wpSS/ss_handler.php script is not validated before returning it to users.","Send a crafted data via HTTP GET request
  and check whether it is able to read cookie or not.
Details:
WordPress Spreadsheet plugin Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.804872)
Version used: $Revision: 11402 $
","Product: cpe:/a:wordpress:wordpress:2.0
Method: WordPress Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.900182)
","69073,  69089","","http://packetstormsecurity.com/files/127770"
192.168.100.8,,80,tcp,6.8,Medium,"VendorFix","WebCalendar Multiple CSS and CSRF Vulnerabilities","The host is running WebCalendar and is prone to multiple CSS and
  CSRF Vulnerabilities.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.800472,"CVE-2010-0636, CVE-2010-0637, CVE-2010-0638",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,bccd0743-c25b-4eb8-9a6d-f0111de6faea,"Successful exploitation could allow attackers to conduct cross-site scripting
  and request forgery attacks.","Upgrade to WebCalendar version 1.2.1 or later","WebCalendar version 1.2.0 and prior.","- Input passed to the 'tab' parameter in 'users.php' is not properly
    sanitised before being returned to the user.

  - Input appended to the URL after 'day.php', 'month.php', and 'week.php'
    is not properly sanitised before being returned to the user.

  - The application allows users to perform certain actions via HTTP requests
    without performing any validity checks to verify the requests. This can be
    exploited to delete an event, ban an IP address from posting, or change the
    administrative password if a logged-in administrative user visits a malicious
    web site.","
Details:
WebCalendar Multiple CSS and CSRF Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.800472)
Version used: $Revision: 14326 $
","","38053","","http://secunia.com/advisories/38222, http://holisticinfosec.org/content/view/133/45/, http://www.k5n.us/webcalendar.php?topic=Download"
192.168.100.8,,8080,tcp,6.8,Medium,"Mitigation","Apache Tomcat servlet/JSP container default files","The Apache Tomcat servlet/JSP container has default files installed.","The following default files were found : 
http://192.168.100.8:8080/examples/servlets/index.html
http://192.168.100.8:8080/examples/jsp/snp/snoop.jsp
http://192.168.100.8:8080/examples/jsp/index.html",1.3.6.1.4.1.25623.1.0.12085,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,63268a34-433a-4469-9a3a-78aed1609dae,"These files should be removed as they may help an attacker to guess the
  exact version of the Apache Tomcat which is running on this host and may
  provide other useful information.","Remove default files, example JSPs and Servlets from the Tomcat
  Servlet/JSP container.","","Default files, such as documentation, default Servlets and JSPs were found on
  the Apache Tomcat servlet/JSP container.","
Details:
Apache Tomcat servlet/JSP container default files
(OID: 1.3.6.1.4.1.25623.1.0.12085)
Version used: $Revision: 13975 $
","Product: cpe:/a:apache:tomcat:6.0.24
Method: Apache Tomcat Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.800371)
","","",""
192.168.100.8,,443,tcp,6.8,Medium,"VendorFix","SSL/TLS: OpenSSL CCS Man in the Middle Security Bypass Vulnerability","OpenSSL is prone to security-bypass vulnerability.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.105042,"CVE-2014-0224",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,4c39b55a-cb3b-486b-ba19-dd952c9b781b,"Successfully exploiting this issue may allow attackers to obtain
  sensitive information by conducting a man-in-the-middle attack. This may lead to other attacks.","Updates are available. Please see the references for more information.","OpenSSL before 0.9.8za, 1.0.0 before 1.0.0m and 1.0.1 before 1.0.1h.","OpenSSL does not properly restrict processing of ChangeCipherSpec
  messages, which allows man-in-the-middle attackers to trigger use of a zero-length master key in
  certain OpenSSL-to-OpenSSL communications, and consequently hijack sessions or obtain sensitive
  information, via a crafted TLS handshake, aka the 'CCS Injection' vulnerability.","Send two SSL ChangeCipherSpec request and check the response.
Details:
SSL/TLS: OpenSSL CCS Man in the Middle Security Bypass Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.105042)
Version used: $Revision: 12865 $
","","67899","CB-K15/0567, CB-K15/0415, CB-K15/0384, CB-K15/0080, CB-K15/0079, CB-K15/0074, CB-K14/1617, CB-K14/1537, CB-K14/1299, CB-K14/1297, CB-K14/1294, CB-K14/1202, CB-K14/1174, CB-K14/1153, CB-K14/0876, CB-K14/0756, CB-K14/0746, CB-K14/0736, CB-K14/0722, CB-K14/0716, CB-K14/0708, CB-K14/0684, CB-K14/0683, CB-K14/0680, DFN-CERT-2016-0388, DFN-CERT-2015-0593, DFN-CERT-2015-0427, DFN-CERT-2015-0396, DFN-CERT-2015-0082, DFN-CERT-2015-0079, DFN-CERT-2015-0078, DFN-CERT-2014-1717, DFN-CERT-2014-1632, DFN-CERT-2014-1364, DFN-CERT-2014-1357, DFN-CERT-2014-1350, DFN-CERT-2014-1265, DFN-CERT-2014-1209, DFN-CERT-2014-0917, DFN-CERT-2014-0789, DFN-CERT-2014-0778, DFN-CERT-2014-0768, DFN-CERT-2014-0752, DFN-CERT-2014-0747, DFN-CERT-2014-0738, DFN-CERT-2014-0715, DFN-CERT-2014-0714, DFN-CERT-2014-0709","https://www.openssl.org/news/secadv/20140605.txt, http://www.securityfocus.com/bid/67899, http://openssl.org/"
192.168.100.8,,443,tcp,6.5,Medium,"VendorFix","Tiki Wiki CMS Groupware < 17.2 SQL Injection Vulnerability","In Tiki the user task component is vulnerable to a SQL Injection via the
tiki-user_tasks.php show_history parameter.","Installed version: 1.9.5
Fixed version:     17.2",1.3.6.1.4.1.25623.1.0.141885,"CVE-2018-20719",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,4ccc2ed1-47e1-4269-a215-d085358eff59,"","Upgrade to version 17.2 or later.","Tiki Wiki CMS Groupware prior to version 17.2.","","Checks if a vulnerable version is present on the target host.
Details:
Tiki Wiki CMS Groupware < 17.2 SQL Injection Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141885)
Version used: $Revision: 13115 $
","Product: cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Method: Tiki Wiki CMS Groupware Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.901001)
","","","https://blog.ripstech.com/2018/scan-verify-patch-security-issues-in-minutes/"
192.168.100.8,,80,tcp,6.5,Medium,"VendorFix","Tiki Wiki CMS Groupware < 17.2 SQL Injection Vulnerability","In Tiki the user task component is vulnerable to a SQL Injection via the
tiki-user_tasks.php show_history parameter.","Installed version: 1.9.5
Fixed version:     17.2",1.3.6.1.4.1.25623.1.0.141885,"CVE-2018-20719",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,daa6eb2b-2146-4c09-87e6-398a3b1495e6,"","Upgrade to version 17.2 or later.","Tiki Wiki CMS Groupware prior to version 17.2.","","Checks if a vulnerable version is present on the target host.
Details:
Tiki Wiki CMS Groupware < 17.2 SQL Injection Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141885)
Version used: $Revision: 13115 $
","Product: cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Method: Tiki Wiki CMS Groupware Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.901001)
","","","https://blog.ripstech.com/2018/scan-verify-patch-security-issues-in-minutes/"
192.168.100.8,,443,tcp,6.5,Medium,"VendorFix","Joomla! < 3.8.13 ACL Violation Vulnerability","If an attacker gets access to the mail account of an user who can approve
admin verifications in the registration process, he can activate himself.","Installed version: 1.5.15
Fixed version:     3.8.13
Installation
path / port:       /joomla",1.3.6.1.4.1.25623.1.0.141580,"CVE-2018-17855",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,95c9463c-5c6e-4a35-ab99-41eecf9a1a62,"","Update to version 3.8.13 or later.","Joomla! CMS versions 1.5.0 through 3.8.12.","","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 3.8.13 ACL Violation Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141580)
Version used: $Revision: 12938 $
","Product: cpe:/a:joomla:joomla:1.5.15
Method: joomla Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.100330)
","","DFN-CERT-2018-2061","https://developer.joomla.org/security-centre/754-20181004-core-acl-violation-in-com-users-for-the-admin-verification"
192.168.100.8,,80,tcp,6.5,Medium,"VendorFix","Joomla! < 3.8.13 ACL Violation Vulnerability","If an attacker gets access to the mail account of an user who can approve
admin verifications in the registration process, he can activate himself.","Installed version: 1.5.15
Fixed version:     3.8.13
Installation
path / port:       /joomla",1.3.6.1.4.1.25623.1.0.141580,"CVE-2018-17855",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,e3fffe4a-b207-49d5-8d04-5ebdfe856a5b,"","Update to version 3.8.13 or later.","Joomla! CMS versions 1.5.0 through 3.8.12.","","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 3.8.13 ACL Violation Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141580)
Version used: $Revision: 12938 $
","Product: cpe:/a:joomla:joomla:1.5.15
Method: joomla Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.100330)
","","DFN-CERT-2018-2061","https://developer.joomla.org/security-centre/754-20181004-core-acl-violation-in-com-users-for-the-admin-verification"
192.168.100.8,,443,tcp,5.8,Medium,"Mitigation","HTTP Debugging Methods (TRACE/TRACK) Enabled","Debugging functions are enabled on the remote web server.

  The remote web server supports the TRACE and/or TRACK methods. TRACE and TRACK
  are HTTP methods which are used to debug web server connections.","The web server has the following HTTP methods enabled: TRACE",1.3.6.1.4.1.25623.1.0.11213,"CVE-2003-1567, CVE-2004-2320, CVE-2004-2763, CVE-2005-3398, CVE-2006-4683, CVE-2007-3008, CVE-2008-7253, CVE-2009-2823, CVE-2010-0386, CVE-2012-2223, CVE-2014-7883",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,1f930242-4f0c-4f01-bbf8-501f3e377caa,"An attacker may use this flaw to trick your legitimate web users to give
  him their credentials.","Disable the TRACE and TRACK methods in your web server configuration.

  Please see the manual of your web server or the references for more information.","Web servers with enabled TRACE and/or TRACK methods.","It has been shown that web servers supporting this methods are
  subject to cross-site-scripting attacks, dubbed XST for Cross-Site-Tracing, when used in
  conjunction with various weaknesses in browsers.","
Details:
HTTP Debugging Methods (TRACE/TRACK) Enabled
(OID: 1.3.6.1.4.1.25623.1.0.11213)
Version used: $Revision: 10828 $
","","9506,  9561,  11604,  15222,  19915,  24456,  33374,  36956,  36990,  37995","CB-K14/0981, DFN-CERT-2014-1018, DFN-CERT-2010-0020","http://www.kb.cert.org/vuls/id/288308, http://www.kb.cert.org/vuls/id/867593, http://httpd.apache.org/docs/current/de/mod/core.html#traceenable, https://www.owasp.org/index.php/Cross_Site_Tracing"
192.168.100.8,,80,tcp,5.8,Medium,"Mitigation","HTTP Debugging Methods (TRACE/TRACK) Enabled","Debugging functions are enabled on the remote web server.

  The remote web server supports the TRACE and/or TRACK methods. TRACE and TRACK
  are HTTP methods which are used to debug web server connections.","The web server has the following HTTP methods enabled: TRACE",1.3.6.1.4.1.25623.1.0.11213,"CVE-2003-1567, CVE-2004-2320, CVE-2004-2763, CVE-2005-3398, CVE-2006-4683, CVE-2007-3008, CVE-2008-7253, CVE-2009-2823, CVE-2010-0386, CVE-2012-2223, CVE-2014-7883",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,0681b874-0912-4392-94aa-f1e108295d43,"An attacker may use this flaw to trick your legitimate web users to give
  him their credentials.","Disable the TRACE and TRACK methods in your web server configuration.

  Please see the manual of your web server or the references for more information.","Web servers with enabled TRACE and/or TRACK methods.","It has been shown that web servers supporting this methods are
  subject to cross-site-scripting attacks, dubbed XST for Cross-Site-Tracing, when used in
  conjunction with various weaknesses in browsers.","
Details:
HTTP Debugging Methods (TRACE/TRACK) Enabled
(OID: 1.3.6.1.4.1.25623.1.0.11213)
Version used: $Revision: 10828 $
","","9506,  9561,  11604,  15222,  19915,  24456,  33374,  36956,  36990,  37995","CB-K14/0981, DFN-CERT-2014-1018, DFN-CERT-2010-0020","http://www.kb.cert.org/vuls/id/288308, http://www.kb.cert.org/vuls/id/867593, http://httpd.apache.org/docs/current/de/mod/core.html#traceenable, https://www.owasp.org/index.php/Cross_Site_Tracing"
192.168.100.8,,443,tcp,5.0,Medium,"Mitigation","SSL/TLS: Report Vulnerable Cipher Suites for HTTPS","This routine reports all SSL/TLS cipher suites accepted by a service
  where attack vectors exists only on HTTPS services.","'Vulnerable' cipher suites accepted by this service via the SSLv3 protocol:

TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA (SWEET32)
TLS_RSA_WITH_3DES_EDE_CBC_SHA (SWEET32)

'Vulnerable' cipher suites accepted by this service via the TLSv1.0 protocol:

TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA (SWEET32)
TLS_RSA_WITH_3DES_EDE_CBC_SHA (SWEET32)",1.3.6.1.4.1.25623.1.0.108031,"CVE-2016-2183, CVE-2016-6329",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,2fec1c59-3306-4b4b-b85c-b69970885dbf,"","The configuration of this services should be changed so
  that it does not accept the listed cipher suites anymore.

  Please see the references for more resources supporting you with this task.","Services accepting vulnerable SSL/TLS cipher suites via HTTPS.","These rules are applied for the evaluation of the vulnerable cipher suites:

  - 64-bit block cipher 3DES vulnerable to the SWEET32 attack (CVE-2016-2183).","
Details:
SSL/TLS: Report Vulnerable Cipher Suites for HTTPS
(OID: 1.3.6.1.4.1.25623.1.0.108031)
Version used: $Revision: 5232 $
","","","CB-K18/0296, CB-K17/1980, CB-K17/1871, CB-K17/1803, CB-K17/1753, CB-K17/1750, CB-K17/1709, CB-K17/1558, CB-K17/1273, CB-K17/1202, CB-K17/1196, CB-K17/1055, CB-K17/1026, CB-K17/0939, CB-K17/0917, CB-K17/0915, CB-K17/0877, CB-K17/0796, CB-K17/0724, CB-K17/0661, CB-K17/0657, CB-K17/0582, CB-K17/0581, CB-K17/0506, CB-K17/0504, CB-K17/0467, CB-K17/0345, CB-K17/0098, CB-K17/0089, CB-K17/0086, CB-K17/0082, CB-K16/1837, CB-K16/1830, CB-K16/1635, CB-K16/1630, CB-K16/1624, CB-K16/1622, CB-K16/1500, CB-K16/1465, CB-K16/1307, CB-K16/1296, DFN-CERT-2019-0068, DFN-CERT-2018-1296, DFN-CERT-2018-0323, DFN-CERT-2017-2070, DFN-CERT-2017-1954, DFN-CERT-2017-1885, DFN-CERT-2017-1831, DFN-CERT-2017-1821, DFN-CERT-2017-1785, DFN-CERT-2017-1626, DFN-CERT-2017-1326, DFN-CERT-2017-1239, DFN-CERT-2017-1238, DFN-CERT-2017-1090, DFN-CERT-2017-1060, DFN-CERT-2017-0968, DFN-CERT-2017-0947, DFN-CERT-2017-0946, DFN-CERT-2017-0904, DFN-CERT-2017-0816, DFN-CERT-2017-0746, DFN-CERT-2017-0677, DFN-CERT-2017-0675, DFN-CERT-2017-0611, DFN-CERT-2017-0609, DFN-CERT-2017-0522, DFN-CERT-2017-0519, DFN-CERT-2017-0482, DFN-CERT-2017-0351, DFN-CERT-2017-0090, DFN-CERT-2017-0089, DFN-CERT-2017-0088, DFN-CERT-2017-0086, DFN-CERT-2016-1943, DFN-CERT-2016-1937, DFN-CERT-2016-1732, DFN-CERT-2016-1726, DFN-CERT-2016-1715, DFN-CERT-2016-1714, DFN-CERT-2016-1588, DFN-CERT-2016-1555, DFN-CERT-2016-1391, DFN-CERT-2016-1378","https://bettercrypto.org/, https://mozilla.github.io/server-side-tls/ssl-config-generator/, https://sweet32.info/"
192.168.100.8,,443,tcp,5.0,Medium,"VendorFix","Joomla! < 3.8.0 LDAP Information Disclosure Vulnerability","This host is running Joomla and is prone
  to an information disclosure vulnerability.","Installed version: 1.5.15
Fixed version:     3.8.0",1.3.6.1.4.1.25623.1.0.112049,"CVE-2017-14596",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,c99029e4-2e77-463f-9d4a-ca0acb0cb015,"Successfully exploiting these issues will allow
  remote attackers to gain access to potentially sensitive information.","Upgrade to Joomla version 3.8.0 or later.","Joomla! versions 1.5.0 through 3.7.5","Joomla is prone to the following information disclosure vulnerability:

  - Inadequate escaping in the LDAP authentication plugin can result into a disclosure of username and password.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 3.8.0 LDAP Information Disclosure Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.112049)
Version used: $Revision: 11983 $
","Product: cpe:/a:joomla:joomla:1.5.15
Method: joomla Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.100330)
","","CB-K17/1899, CB-K17/1591, DFN-CERT-2017-1977, DFN-CERT-2017-1663","https://developer.joomla.org/security-centre/711-20170902-core-ldap-information-disclosure, https://www.joomla.org"
192.168.100.8,,80,tcp,5.0,Medium,"VendorFix","Joomla! < 3.8.0 LDAP Information Disclosure Vulnerability","This host is running Joomla and is prone
  to an information disclosure vulnerability.","Installed version: 1.5.15
Fixed version:     3.8.0",1.3.6.1.4.1.25623.1.0.112049,"CVE-2017-14596",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,2c73059e-dc8b-46d3-9e6b-1b861b39f6ff,"Successfully exploiting these issues will allow
  remote attackers to gain access to potentially sensitive information.","Upgrade to Joomla version 3.8.0 or later.","Joomla! versions 1.5.0 through 3.7.5","Joomla is prone to the following information disclosure vulnerability:

  - Inadequate escaping in the LDAP authentication plugin can result into a disclosure of username and password.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 3.8.0 LDAP Information Disclosure Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.112049)
Version used: $Revision: 11983 $
","Product: cpe:/a:joomla:joomla:1.5.15
Method: joomla Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.100330)
","","CB-K17/1899, CB-K17/1591, DFN-CERT-2017-1977, DFN-CERT-2017-1663","https://developer.joomla.org/security-centre/711-20170902-core-ldap-information-disclosure, https://www.joomla.org"
192.168.100.8,,443,tcp,5.0,Medium,"VendorFix","Joomla! Information Disclosure and Cross-Site Scripting Vulnerabilities","This host is running Joomla and is prone
  to information disclosure and cross-site scripting vulnerabilities.","Installed version: 1.5.15
Fixed version:     3.7.0",1.3.6.1.4.1.25623.1.0.811042,"CVE-2017-7983, CVE-2017-7986, CVE-2017-7985",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,5afca4a4-360b-4b51-9cd6-0c670c4ea0cb,"Successfully exploiting these issues allow
  remote attackers to gain access to potentially sensitive information and
  conduct cross-site scripting attacks.","Upgrade to Joomla version 3.7.0 or later.","Joomla core versions 1.5.0 through 3.6.5","Multiple flaws are due to,

  - Mail sent using the JMail API leaked the used PHPMailer version in the mail
    headers.

  - Inadequate filtering of specific HTML attributes.

  - Inadequate filtering of multibyte characters.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! Information Disclosure and Cross-Site Scripting Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.811042)
Version used: $Revision: 11863 $
","Product: cpe:/a:joomla:joomla:1.5.15
Method: joomla Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.100330)
","98016,  98024,  98020","CB-K17/1113, CB-K17/0698, DFN-CERT-2017-1151, DFN-CERT-2017-0720","https://developer.joomla.org/security-centre/686-20170404-core-xss-vulnerability, https://developer.joomla.org/security-centre/685-20170403-core-xss-vulnerability, https://developer.joomla.org/security-centre/683-20170401-core-information-disclosure, https://www.joomla.org"
192.168.100.8,,80,tcp,5.0,Medium,"VendorFix","Joomla! Information Disclosure and Cross-Site Scripting Vulnerabilities","This host is running Joomla and is prone
  to information disclosure and cross-site scripting vulnerabilities.","Installed version: 1.5.15
Fixed version:     3.7.0",1.3.6.1.4.1.25623.1.0.811042,"CVE-2017-7983, CVE-2017-7986, CVE-2017-7985",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,71e742ed-c44d-4e94-81b5-e772c4aaa684,"Successfully exploiting these issues allow
  remote attackers to gain access to potentially sensitive information and
  conduct cross-site scripting attacks.","Upgrade to Joomla version 3.7.0 or later.","Joomla core versions 1.5.0 through 3.6.5","Multiple flaws are due to,

  - Mail sent using the JMail API leaked the used PHPMailer version in the mail
    headers.

  - Inadequate filtering of specific HTML attributes.

  - Inadequate filtering of multibyte characters.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! Information Disclosure and Cross-Site Scripting Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.811042)
Version used: $Revision: 11863 $
","Product: cpe:/a:joomla:joomla:1.5.15
Method: joomla Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.100330)
","98016,  98024,  98020","CB-K17/1113, CB-K17/0698, DFN-CERT-2017-1151, DFN-CERT-2017-0720","https://developer.joomla.org/security-centre/686-20170404-core-xss-vulnerability, https://developer.joomla.org/security-centre/685-20170403-core-xss-vulnerability, https://developer.joomla.org/security-centre/683-20170401-core-information-disclosure, https://www.joomla.org"
